# x	y	u	g	r	i	z
127	1	0.0391	0.0021	0.0676	0.0802	-0.0357
128	1	-0.0367	0.0059	0.0364	0.0404	-0.1179
129	1	0.0296	0.0134	0.0157	0.0338	-0.0769
130	1	-0.0178	0.0021	0.0364	0.0735	0.0054
131	1	0.0676	-0.0054	0.0209	0.1597	0.2520
132	1	0.0676	0.0059	0.0209	-0.0193	-0.1179
133	1	0.0201	-0.0091	0.0468	0.0338	-0.0768
134	1	0.0201	-0.0129	0.0001	0.0205	0.1289
135	1	-0.0083	0.0247	-0.0103	0.0602	0.3345
136	1	0.0391	0.0209	-0.0051	0.0271	0.2112
137	1	0.0581	0.0134	-0.0051	0.0403	0.1289
138	1	-0.0748	0.0059	0.0001	0.0072	-0.0768
139	1	0.0296	0.0134	-0.0051	0.0403	0.1289
140	1	-0.0368	-0.0167	0.0105	0.0072	-0.2002
141	1	0.0202	-0.0054	0.0157	0.0271	-0.0769
142	1	0.0391	0.0021	0.0312	0.0868	-0.1179
143	1	-0.0463	-0.0129	0.0260	0.0602	0.1699
144	1	-0.0938	-0.0054	0.0260	0.0337	0.1289
145	1	-0.0083	0.0134	-0.0051	0.0271	0.2524
146	1	0.0012	-0.0016	0.0521	0.1000	0.4170
147	1	-0.0083	0.0096	0.0312	0.1067	-0.1180
148	1	0.0297	0.0359	0.0468	0.0204	-0.0769
149	1	-0.0273	0.0059	0.0312	0.1067	-0.1180
150	1	-0.0178	-0.0017	0.0364	0.2061	-0.1592
151	1	-0.0273	0.0172	0.0833	0.1265	0.0054
152	1	0.0486	0.0134	0.0468	0.1597	-0.2827
153	1	-0.0748	-0.0054	-0.0051	0.0868	-0.2002
154	1	-0.0653	-0.0167	0.0000	0.0204	0.0876
155	1	0.0107	0.0209	0.0052	0.0536	0.0466
156	1	0.0202	0.0209	-0.0051	0.0403	-0.1180
157	1	0.0202	0.0096	0.0156	-0.0127	-0.1592
158	1	0.0676	0.0247	0.0364	0.0271	0.0054
159	1	-0.0083	-0.0054	0.0312	0.0072	0.1289
160	1	-0.0083	-0.0129	-0.0052	-0.0127	-0.1180
161	1	-0.0368	-0.0017	0.0156	0.0735	-0.0769
162	1	-0.0463	0.0134	-0.0104	-0.0061	-0.0769
163	1	0.0202	-0.0280	0.0416	0.0403	0.1699
164	1	-0.0273	0.0284	-0.0155	0.0204	-0.4062
165	1	0.0012	0.0134	-0.0571	0.0138	0.0876
166	1	0.0297	-0.0017	0.0104	0.0204	0.0054
167	1	-0.0463	-0.0130	0.0208	0.0337	0.0876
168	1	0.0487	-0.0054	0.0312	0.0403	0.0465
169	1	-0.0654	0.0021	0.0000	-0.0392	0.4580
170	1	-0.0083	-0.0167	-0.0156	0.0270	0.1699
171	1	0.1057	0.0021	-0.0104	0.0602	0.1699
172	1	0.0107	0.0134	0.0260	0.1000	0.2935
173	1	0.0012	0.0322	0.0364	-0.0990	-0.2827
174	1	0.0012	0.0021	-0.0208	-0.0194	-0.2004
175	1	-0.0844	0.0058	0.0208	0.0270	-0.2415
176	1	0.0202	-0.0054	-0.0208	0.0204	0.0054
177	1	-0.0464	0.0209	-0.0312	0.0535	0.2935
178	1	0.0012	-0.0017	0.0104	0.0403	0.0465
179	1	0.0107	0.0322	0.0416	0.0138	0.0053
180	1	0.0012	0.0021	0.0468	0.0602	0.2520
181	1	0.0677	-0.0243	0.0260	0.0336	0.1287
182	1	0.0677	-0.0205	0.0156	0.0668	0.1287
183	1	0.0582	-0.0017	0.0416	0.1462	0.1699
184	1	-0.0559	0.0058	0.0208	0.0734	0.2109
185	1	0.0107	-0.0055	0.0312	0.0602	-0.0358
186	1	-0.0274	0.0322	0.0000	0.0403	-0.1180
187	1	-0.0274	0.0171	0.0260	-0.0260	-0.1592
188	1	-0.0274	0.0209	0.0364	0.0336	0.0876
189	1	0.0392	-0.0017	-0.0104	0.0204	0.0464
190	1	-0.0940	-0.0092	0.0104	0.0535	0.1287
191	1	-0.0654	-0.0205	0.0364	0.0535	0.0464
192	1	-0.0559	-0.0243	0.0156	0.0137	0.2109
193	1	-0.0274	0.0021	0.0104	0.0071	-0.3237
194	1	-0.0750	0.0096	0.0052	0.0204	0.1287
195	1	-0.0084	-0.0092	0.0000	0.0204	-0.1182
196	1	0.0487	-0.0092	0.0364	0.0204	0.0464
197	1	0.0963	-0.0205	0.0312	0.0270	-0.2827
198	1	-0.0274	-0.0092	-0.0312	0.0204	-0.0770
199	1	-0.0369	-0.0168	-0.0052	-0.0128	0.0053
200	1	-0.0179	-0.0092	0.0104	-0.0460	0.0053
201	1	0.0202	-0.0055	0.0052	0.0469	-0.2004
202	1	-0.0179	-0.0055	-0.0416	0.1132	-0.1594
203	1	0.0487	0.0058	-0.0052	-0.0261	-0.3237
204	1	-0.0084	0.0133	0.0156	0.0801	0.0875
205	1	0.0297	0.0020	0.0156	-0.0393	0.1287
206	1	-0.0654	0.0020	-0.0572	0.0469	-0.1594
207	1	0.0107	-0.0243	-0.0416	0.0535	-0.0359
208	1	0.0297	-0.0130	0.0052	-0.0062	0.0464
209	1	0.0868	0.0096	0.0052	0.0005	0.1287
210	1	0.0392	-0.0356	-0.0052	0.0601	0.0464
211	1	-0.0179	0.0359	-0.0156	-0.0128	-0.2827
